Date,LTT,,,
2023-11-24T07:51:00.000Z,"43,625.30",,,
2023-11-24T07:52:00.000Z,"43,618.40",,,
2023-11-24T07:53:00.000Z,"43,619.85",,,
2023-11-24T07:54:00.000Z,"43,624.55",,,
2023-11-24T07:55:00.000Z,"43,633.85",,,
2023-11-24T07:56:00.000Z,"43,638.30",,,
2023-11-24T07:57:00.000Z,"43,641.10",,,
2023-11-24T07:58:00.000Z,"43,641.55",,,
2023-11-24T07:59:00.000Z,"43,643.00",,,
2023-11-24T08:00:00.000Z,"43,670.50",,,
2023-11-24T08:01:00.000Z,"43,684.95",,,
2023-11-24T08:02:00.000Z,"43,679.95",,,
2023-11-24T08:03:00.000Z,"43,667.45",,,
2023-11-24T08:04:00.000Z,"43,670.75",,,
2023-11-24T08:05:00.000Z,"43,666.05",,,
2023-11-24T08:06:00.000Z,"43,660.95",,,
2023-11-24T08:07:00.000Z,"43,655.55",,,
2023-11-24T08:08:00.000Z,"43,653.65",,,
2023-11-24T08:09:00.000Z,"43,664.95",,,
2023-11-24T08:10:00.000Z,"43,667.20",,,
2023-11-24T08:11:00.000Z,"43,676.80",,,
2023-11-24T08:12:00.000Z,"43,686.00",,,
2023-11-24T08:13:00.000Z,"43,690.55",,,
2023-11-24T08:14:00.000Z,"43,691.40",,,
2023-11-24T08:15:00.000Z,"43,693.85",,,
2023-11-24T08:16:00.000Z,"43,692.70",,,
2023-11-24T08:17:00.000Z,"43,701.10",,,
2023-11-24T08:18:00.000Z,"43,706.05",,,
2023-11-24T08:19:00.000Z,"43,700.15",,,
2023-11-24T08:20:00.000Z,"43,698.95",,,
2023-11-24T08:21:00.000Z,"43,699.30",,,
2023-11-24T08:22:00.000Z,"43,699.35",,,
2023-11-24T08:23:00.000Z,"43,701.15",,,
2023-11-24T08:24:00.000Z,"43,702.30",,,
2023-11-24T08:25:00.000Z,"43,700.25",,,
2023-11-24T08:26:00.000Z,"43,698.55",,,
2023-11-24T08:27:00.000Z,"43,704.75",,,
2023-11-24T08:28:00.000Z,"43,712.95",,,
2023-11-24T08:29:00.000Z,"43,720.30",,,
2023-11-24T08:30:00.000Z,"43,711.45",,,
2023-11-24T08:31:00.000Z,"43,710.35",,,
2023-11-24T08:32:00.000Z,"43,705.85",,,
2023-11-24T08:33:00.000Z,"43,705.25",,,
2023-11-24T08:34:00.000Z,"43,711.25",,,
2023-11-24T08:35:00.000Z,"43,704.25",,,
2023-11-24T08:36:00.000Z,"43,714.25",,,
2023-11-24T08:37:00.000Z,"43,716.80",,,
2023-11-24T08:38:00.000Z,"43,710.10",,,
2023-11-24T08:39:00.000Z,"43,701.15",,,
2023-11-24T08:40:00.000Z,"43,698.35",,,
2023-11-24T08:41:00.000Z,"43,697.50",,,
2023-11-24T08:42:00.000Z,"43,706.00",,,
2023-11-24T08:43:00.000Z,"43,711.10",,,
