Date,LTP,,,
2023-12-08T05:02:00.000Z,47140.25,,,
2023-12-08T05:03:00.000Z,47116.45,,,
2023-12-08T05:04:00.000Z,47108.25,,,
2023-12-08T05:05:00.000Z,47102.90,,,
2023-12-08T05:06:00.000Z,47085.30,,,
2023-12-08T05:07:00.000Z,47081.90,,,
2023-12-08T05:08:00.000Z,47081.75,,,
2023-12-08T05:09:00.000Z,47084.00,,,
2023-12-08T05:10:00.000Z,47099.20,,,
2023-12-08T05:11:00.000Z,47111.45,,,
2023-12-08T05:12:00.000Z,47100.95,,,
2023-12-08T05:13:00.000Z,47106.50,,,
2023-12-08T05:14:00.000Z,47142.35,,,
2023-12-08T05:15:00.000Z,47149.70,,,
2023-12-08T05:16:00.000Z,47148.30,,,
2023-12-08T05:17:00.000Z,47126.55,,,
2023-12-08T05:18:00.000Z,47130.60,,,
2023-12-08T05:19:00.000Z,47123.75,,,
2023-12-08T05:20:00.000Z,47107.25,,,
2023-12-08T05:21:00.000Z,47105.85,,,
2023-12-08T05:22:00.000Z,47107.00,,,
2023-12-08T05:23:00.000Z,47101.45,,,
2023-12-08T05:24:00.000Z,47107.90,,,
2023-12-08T05:25:00.000Z,47078.70,,,
2023-12-08T05:26:00.000Z,47089.70,,,
2023-12-08T05:27:00.000Z,47074.00,,,
2023-12-08T05:28:00.000Z,47072.70,,,
2023-12-08T05:29:00.000Z,47067.25,,,
2023-12-08T05:30:00.000Z,47074.10,,,
2023-12-08T05:31:00.000Z,47046.00,,,
2023-12-08T05:32:00.000Z,47045.05,,,
2023-12-08T05:33:00.000Z,46994.10,,,
2023-12-08T05:34:00.000Z,46973.70,,,
2023-12-08T05:35:00.000Z,46961.95,,,
2023-12-08T05:36:00.000Z,46980.35,,,
2023-12-08T05:37:00.000Z,46941.80,,,
2023-12-08T05:38:00.000Z,46947.80,,,
2023-12-08T05:39:00.000Z,46977.75,,,
2023-12-08T05:40:00.000Z,46972.80,,,
2023-12-08T05:41:00.000Z,46975.20,,,
2023-12-08T05:42:00.000Z,46996.25,,,
2023-12-08T05:43:00.000Z,47019.65,,,
2023-12-08T05:44:00.000Z,47056.05,,,
2023-12-08T05:45:00.000Z,47083.85,,,
2023-12-08T05:46:00.000Z,47083.70,,,
2023-12-08T05:47:00.000Z,47109.85,,,
2023-12-08T05:48:00.000Z,47091.80,,,
2023-12-08T05:49:00.000Z,47099.40,,,
2023-12-08T05:50:00.000Z,47113.30,,,
2023-12-08T05:51:00.000Z,47098.50,,,
2023-12-08T05:52:00.000Z,47116.85,,,
2023-12-08T05:53:00.000Z,47101.65,,,
2023-12-08T05:54:00.000Z,47095.05,,,
2023-12-08T05:55:00.000Z,47094.65,,,
2023-12-08T05:56:00.000Z,47093.85,,,
2023-12-08T05:57:00.000Z,47095.00,,,
2023-12-08T05:58:00.000Z,47082.60,,,
2023-12-08T05:59:00.000Z,47075.55,,,
2023-12-08T06:00:00.000Z,47088.90,,,
2023-12-08T06:01:00.000Z,47086.30,,,
2023-12-08T06:02:00.000Z,47094.85,,,
2023-12-08T06:03:00.000Z,47084.75,,,
2023-12-08T06:04:00.000Z,47089.10,,,
2023-12-08T06:05:00.000Z,47095.90,,,
2023-12-08T06:06:00.000Z,47092.60,,,
2023-12-08T06:07:00.000Z,47091.80,,,
2023-12-08T06:08:00.000Z,47103.45,,,
2023-12-08T06:09:00.000Z,47092.20,,,
2023-12-08T06:10:00.000Z,47075.35,,,
2023-12-08T06:11:00.000Z,47064.00,,,
2023-12-08T06:12:00.000Z,47055.10,,,
2023-12-08T06:13:00.000Z,47066.15,,,
2023-12-08T06:14:00.000Z,47069.30,,,
2023-12-08T06:15:00.000Z,47068.15,,,
2023-12-08T06:16:00.000Z,47060.00,,,
2023-12-08T06:17:00.000Z,47055.05,,,
2023-12-08T06:18:00.000Z,47056.60,,,
2023-12-08T06:19:00.000Z,47060.70,,,
2023-12-08T06:20:00.000Z,47053.60,,,
2023-12-08T06:21:00.000Z,47049.00,,,
2023-12-08T06:22:00.000Z,47050.20,,,
2023-12-08T06:23:00.000Z,47045.50,,,
2023-12-08T06:24:00.000Z,47040.60,,,
2023-12-08T06:25:00.000Z,47038.70,,,
2023-12-08T06:26:00.000Z,47027.70,,,
2023-12-08T06:27:00.000Z,47035.20,,,
2023-12-08T06:28:00.000Z,47041.55,,,
2023-12-08T06:29:00.000Z,47034.60,,,
2023-12-08T06:30:00.000Z,47030.15,,,
2023-12-08T06:31:00.000Z,47038.40,,,
2023-12-08T06:32:00.000Z,47031.35,,,
2023-12-08T06:33:00.000Z,47021.00,,,
2023-12-08T06:34:00.000Z,47022.90,,,
2023-12-08T06:35:00.000Z,47028.55,,,
2023-12-08T06:36:00.000Z,47028.70,,,
2023-12-08T06:37:00.000Z,47030.45,,,
2023-12-08T06:38:00.000Z,47040.60,,,
2023-12-08T06:39:00.000Z,47041.40,,,
2023-12-08T06:40:00.000Z,47029.75,,,
2023-12-08T06:41:00.000Z,47034.30,,,
2023-12-08T06:42:00.000Z,47041.10,,,
2023-12-08T06:43:00.000Z,47033.70,,,
2023-12-08T06:44:00.000Z,47035.55,,,
2023-12-08T06:45:00.000Z,47032.65,,,
2023-12-08T06:46:00.000Z,47040.75,,,
2023-12-08T06:47:00.000Z,47044.70,,,
2023-12-08T06:48:00.000Z,47043.20,,,
2023-12-08T06:49:00.000Z,47032.00,,,
2023-12-08T06:50:00.000Z,47020.00,,,
2023-12-08T06:51:00.000Z,47007.55,,,
2023-12-08T06:52:00.000Z,47010.10,,,
2023-12-08T06:53:00.000Z,46989.80,,,
2023-12-08T06:54:00.000Z,46984.45,,,
2023-12-08T06:55:00.000Z,46992.35,,,
2023-12-08T06:56:00.000Z,46995.45,,,
2023-12-08T06:57:00.000Z,46987.05,,,
2023-12-08T06:58:00.000Z,46992.65,,,
2023-12-08T06:59:00.000Z,47007.30,,,
2023-12-08T07:00:00.000Z,47019.35,,,
2023-12-08T07:01:00.000Z,47033.20,,,
2023-12-08T07:02:00.000Z,47027.45,,,
2023-12-08T07:03:00.000Z,47021.65,,,
2023-12-08T07:04:00.000Z,47007.30,,,
2023-12-08T07:05:00.000Z,47010.60,,,
2023-12-08T07:06:00.000Z,47015.50,,,
2023-12-08T07:07:00.000Z,47017.40,,,
2023-12-08T07:08:00.000Z,47011.10,,,
2023-12-08T07:09:00.000Z,47010.00,,,
2023-12-08T07:10:00.000Z,47000.90,,,
2023-12-08T07:11:00.000Z,46993.85,,,
2023-12-08T07:12:00.000Z,46996.30,,,
2023-12-08T07:13:00.000Z,46989.30,,,
2023-12-08T07:14:00.000Z,46992.75,,,
2023-12-08T07:15:00.000Z,46966.30,,,
2023-12-08T07:16:00.000Z,46982.50,,,
2023-12-08T07:17:00.000Z,46970.00,,,
2023-12-08T07:18:00.000Z,46939.05,,,
2023-12-08T07:19:00.000Z,46918.70,,,
2023-12-08T07:20:00.000Z,46918.20,,,
2023-12-08T07:21:00.000Z,46924.50,,,
2023-12-08T07:22:00.000Z,46902.35,,,
2023-12-08T07:23:00.000Z,46923.20,,,
2023-12-08T07:24:00.000Z,46941.25,,,
2023-12-08T07:25:00.000Z,46930.90,,,
2023-12-08T07:26:00.000Z,46935.55,,,
2023-12-08T07:27:00.000Z,46943.95,,,
2023-12-08T07:28:00.000Z,46947.00,,,
2023-12-08T07:29:00.000Z,46973.80,,,
2023-12-08T07:30:00.000Z,46984.50,,,
2023-12-08T07:31:00.000Z,46968.90,,,
2023-12-08T07:32:00.000Z,46969.60,,,
2023-12-08T07:33:00.000Z,46932.30,,,
2023-12-08T07:34:00.000Z,46902.85,,,
2023-12-08T07:35:00.000Z,46875.85,,,
2023-12-08T07:36:00.000Z,46868.30,,,
2023-12-08T07:37:00.000Z,46878.90,,,
2023-12-08T07:38:00.000Z,46904.70,,,
2023-12-08T07:39:00.000Z,46921.05,,,
2023-12-08T07:40:00.000Z,46910.65,,,
2023-12-08T07:41:00.000Z,46911.25,,,
2023-12-08T07:42:00.000Z,46906.55,,,
2023-12-08T07:43:00.000Z,46901.95,,,
2023-12-08T07:44:00.000Z,46927.60,,,
2023-12-08T07:45:00.000Z,46946.10,,,
2023-12-08T07:46:00.000Z,46952.55,,,
2023-12-08T07:47:00.000Z,46938.80,,,
2023-12-08T07:48:00.000Z,46961.05,,,
2023-12-08T07:49:00.000Z,46977.10,,,
2023-12-08T07:50:00.000Z,46962.50,,,
2023-12-08T07:51:00.000Z,46968.05,,,
2023-12-08T07:52:00.000Z,46951.20,,,
2023-12-08T07:53:00.000Z,46967.95,,,
2023-12-08T07:54:00.000Z,46963.80,,,
2023-12-08T07:55:00.000Z,46965.40,,,
2023-12-08T07:56:00.000Z,46972.15,,,
2023-12-08T07:57:00.000Z,46972.85,,,
2023-12-08T07:58:00.000Z,46966.15,,,
2023-12-08T07:59:00.000Z,46952.35,,,
2023-12-08T08:00:00.000Z,46945.50,,,
2023-12-08T08:01:00.000Z,46943.90,,,
2023-12-08T08:02:00.000Z,46957.00,,,
2023-12-08T08:03:00.000Z,46958.55,,,
2023-12-08T08:04:00.000Z,46988.10,,,
2023-12-08T08:05:00.000Z,47008.05,,,
2023-12-08T08:06:00.000Z,47009.90,,,
2023-12-08T08:07:00.000Z,47013.10,,,
2023-12-08T08:08:00.000Z,46998.15,,,
2023-12-08T08:09:00.000Z,46971.30,,,
2023-12-08T08:10:00.000Z,46960.70,,,
2023-12-08T08:11:00.000Z,46961.70,,,
2023-12-08T08:12:00.000Z,46964.35,,,
2023-12-08T08:13:00.000Z,46951.40,,,
2023-12-08T08:14:00.000Z,46941.50,,,
2023-12-08T08:15:00.000Z,46915.10,,,
2023-12-08T08:16:00.000Z,46923.85,,,
2023-12-08T08:17:00.000Z,46936.40,,,
2023-12-08T08:18:00.000Z,46924.60,,,
2023-12-08T08:19:00.000Z,46914.85,,,
2023-12-08T08:20:00.000Z,46934.85,,,
2023-12-08T08:21:00.000Z,46940.20,,,
2023-12-08T08:22:00.000Z,46961.85,,,
2023-12-08T08:23:00.000Z,46975.65,,,
2023-12-08T08:24:00.000Z,46968.10,,,
2023-12-08T08:25:00.000Z,46955.10,,,
2023-12-08T08:26:00.000Z,46961.30,,,
2023-12-08T08:27:00.000Z,46963.00,,,
2023-12-08T08:28:00.000Z,46956.20,,,
2023-12-08T08:29:00.000Z,46972.05,,,
2023-12-08T08:30:00.000Z,46965.20,,,
2023-12-08T08:31:00.000Z,46973.75,,,
2023-12-08T08:32:00.000Z,46977.90,,,
2023-12-08T08:33:00.000Z,46967.05,,,
2023-12-08T08:34:00.000Z,46976.55,,,
2023-12-08T08:35:00.000Z,47009.05,,,
2023-12-08T08:36:00.000Z,47008.00,,,
2023-12-08T08:37:00.000Z,47005.05,,,
2023-12-08T08:38:00.000Z,47005.35,,,
2023-12-08T08:39:00.000Z,47016.55,,,
2023-12-08T08:40:00.000Z,47011.35,,,
2023-12-08T08:41:00.000Z,46993.95,,,
2023-12-08T08:42:00.000Z,46983.10,,,
2023-12-08T08:43:00.000Z,47002.60,,,
2023-12-08T08:44:00.000Z,47010.95,,,
2023-12-08T08:45:00.000Z,47017.40,,,
2023-12-08T08:46:00.000Z,47007.80,,,
2023-12-08T08:47:00.000Z,46996.15,,,
2023-12-08T08:48:00.000Z,46984.80,,,
2023-12-08T08:49:00.000Z,46995.40,,,
2023-12-08T08:50:00.000Z,46968.40,,,
2023-12-08T08:51:00.000Z,46969.60,,,
2023-12-08T08:52:00.000Z,46951.40,,,
2023-12-08T08:53:00.000Z,46961.75,,,
2023-12-08T08:54:00.000Z,46985.55,,,
2023-12-08T08:55:00.000Z,46986.55,,,
2023-12-08T08:56:00.000Z,46996.20,,,
2023-12-08T08:57:00.000Z,46995.45,,,
2023-12-08T08:58:00.000Z,46993.05,,,
2023-12-08T08:59:00.000Z,46990.00,,,
2023-12-08T09:00:00.000Z,47003.95,,,
2023-12-08T09:01:00.000Z,46995.50,,,
2023-12-08T09:02:00.000Z,47001.90,,,
2023-12-08T09:03:00.000Z,46988.05,,,
2023-12-08T09:04:00.000Z,46997.05,,,
